Category,Description,Name,Price,SKU,Stock,Tags
"Drill,Pokemon","Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",Nidoking,31.00,1159,178 in stock,"Drill,nidoking,Poison Point"
"Poison Pin,Pokemon","Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",Nidorino,179.00,9646,279 in stock,"nidorino,Poison Pin,Poison Point"
"Drill,Pokemon",Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,Nidoqueen,106.00,6614,153 in stock,"Drill,nidoqueen,Poison Point"
"Poison Pin,Pokemon","When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",Nidorina,28.00,9779,58 in stock,"nidorina,Poison Pin,Poison Point"
"Mouse,Pokemon","Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.",Sandslash,155.00,4747,236 in stock,"Mouse,Sand Veil,sandslash"
"Mouse,Pokemon","Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.",Sandshrew,82.00,9134,100 in stock,"Mouse,Sand Veil,sandshrew"
"Mouse,Pokemon",This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,Raichu,140.00,3488,215 in stock,"Mouse,raichu,Static"
"Mouse,Pokemon",This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,Pikachu,37.00,1333,254 in stock,"Mouse,pikachu,Static"
"Cobra,Pokemon","This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",Arbok,182.00,9230,248 in stock,"arbok,Cobra,Shed Skin"
"Pokemon,Snake",Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,Ekans,55.00,5690,120 in stock,"ekans,Shed Skin,Snake"
"Beak,Pokemon",Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,Fearow,95.00,9127,276 in stock,"Beak,fearow,Keen Eye"
"Magnet,Pokemon","Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball.",Magneton,191.00,5934,152 in stock,"Magnet,magneton,Sturdy"
"Magnet,Pokemon",Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.,Magnemite,100.00,1688,16 in stock,"magnemite,Magnet,Sturdy"
"Hermit Crab,Pokemon","Slowbro’s tail has a Shellder firmly attached with a bite. As a result, the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.",Slowbro,179.00,3864,289 in stock,"Hermit Crab,Oblivious,slowbro"
"Dopey,Pokemon","Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.",Slowpoke,109.00,2145,57 in stock,"Dopey,Oblivious,slowpoke"
"Fire Horse,Pokemon","Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.",Rapidash,98.00,3414,194 in stock,"Fire Horse,rapidash,Run Away"
"Fire Horse,Pokemon",Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,Ponyta,53.00,3629,41 in stock,"Fire Horse,ponyta,Run Away"
"Megaton,Pokemon","Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course.",Golem,103.00,1408,151 in stock,"golem,Megaton,Rock Head"
"Pokemon,Rock","Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom.",Graveler,182.00,4748,86 in stock,"graveler,Rock,Rock Head"
"Pokemon,Rock","When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokémon rolls downhill in search of food.",Geodude,32.00,1650,77 in stock,"geodude,Rock,Rock Head"
"Jellyfish,Pokemon",Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.,Tentacruel,65.00,1723,175 in stock,"Clear Body,Jellyfish,tentacruel"
"Jellyfish,Pokemon",Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.,Tentacool,186.00,1506,66 in stock,"Clear Body,Jellyfish,tentacool"
"Flycatcher,Pokemon","Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.",Victreebel,68.00,2187,119 in stock,"Chlorophyll,Flycatcher,victreebel"
"Flycatcher,Pokemon","Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.",Weepinbell,26.00,5253,46 in stock,"Chlorophyll,Flycatcher,weepinbell"
"Flower,Pokemon","Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.",Bellsprout,74.00,7454,257 in stock,"bellsprout,Chlorophyll,Flower"
"Pokemon,Superpower","Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon.",Machamp,121.00,2857,242 in stock,"Guts,machamp,Superpower"
"Pokemon,Superpower","Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train.",Machoke,27.00,9503,10 in stock,"Guts,machoke,Superpower"
"Pokemon,Tiny Bird","Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",Spearow,133.00,1591,46 in stock,"Keen Eye,spearow,Tiny Bird"
"Mouse,Pokemon","Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",Raticate,60.00,5745,204 in stock,"Mouse,raticate,Run Away"
"Mouse,Pokemon","Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",Rattata,128.00,1009,16 in stock,"Mouse,rattata,Run Away"
"Bird,Pokemon","This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",Pidgeot,185.00,8462,90 in stock,"Bird,Keen Eye,pidgeot"
"Bird,Pokemon","Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",Pidgeotto,84.00,1150,120 in stock,"Bird,Keen Eye,pidgeotto"
"Butterfly,Pokemon","Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",Butterfree,162.00,9507,242 in stock,"Butterfly,butterfree,Compound Eyes"
"Cocoon,Pokemon",The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,Metapod,148.00,2072,285 in stock,"Cocoon,metapod,Shed Skin"
"Pokemon,Worm","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",Caterpie,73.00,7492,40 in stock,"caterpie,Shield Dust,Worm"
"Pokemon,Shellfish",Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,Blastoise,76.00,5212,88 in stock,"blastoise,Shellfish,Torrent"
"Pokemon,Turtle","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",Wartortle,123.00,9659,24 in stock,"Torrent,Turtle,wartortle"
"Pokemon,Tiny Turtle","Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",Squirtle,130.00,6094,178 in stock,"squirtle,Tiny Turtle,Torrent"
"Flame,Pokemon","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",Charizard,156.00,8840,31 in stock,"Blaze,Charizard,Flame"
"Flame,Pokemon","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",Charmeleon,165.00,6565,284 in stock,"Blaze,charmeleon,Flame"
"Lizard,Pokemon","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",Charmander,48.00,9086,206 in stock,"Blaze,charmander,Lizard"
"Pokemon,Seed",There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,Venusaur,105.00,7036,30 in stock,"Overgrow,Seed,venusaur"
"Pokemon,Seed","There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",Ivysaur,87.00,7227,142 in stock,"ivysaur,Overgrow,Seed"
"Pokemon,Seed","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",Bulbasaur,63.00,4391,45 in stock,"bulbasaur,Overgrow,Seed"
"Pokemon,Scout","When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear.",Sentret,48.00,2687,83 in stock,"Keen Eye,Scout,sentret"
"Big Jaw,Pokemon","Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.",Feraligatr,183.00,9344,175 in stock,"Big Jaw,feraligatr,Torrent"
"Big Jaw,Pokemon","Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.",Croconaw,175.00,9299,255 in stock,"Big Jaw,croconaw,Torrent"
"Big Jaw,Pokemon","Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury.",Totodile,190.00,4342,285 in stock,"Big Jaw,Torrent,totodile"
"Pokemon,Volcano",Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.,Typhlosion,191.00,5228,118 in stock,"Blaze,typhlosion,Volcano"
"Pokemon,Volcano",Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.,Quilava,85.00,6999,263 in stock,"Blaze,quilava,Volcano"
"Fire Mouse,Pokemon","Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion.",Cyndaquil,154.00,3987,184 in stock,"Blaze,cyndaquil,Fire Mouse"
"Herb,Pokemon","The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.",Meganium,163.00,5778,71 in stock,"Herb,meganium,Overgrow"
"Leaf,Pokemon",Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.,Bayleef,44.00,1272,299 in stock,"bayleef,Leaf,Overgrow"
"Leaf,Pokemon","In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.",Chikorita,127.00,2657,98 in stock,"chikorita,Leaf,Overgrow"
"New Species,Pokemon","Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.",Mew,136.00,4382,152 in stock,"mew,New Species,Synchronize"
"Genetic,Pokemon","Mewtwo is a Pokémon that was created by genetic manipulation. However, even though the scientific power of humans created this Pokémon’s body, they failed to endow Mewtwo with a compassionate heart.",Mewtwo,43.00,4630,78 in stock,"Genetic,mewtwo,Pressure"
"Dragon,Pokemon",Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land.,Dragonite,69.00,9175,127 in stock,"Dragon,dragonite,Inner Focus"
"Dragon,Pokemon",Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail.,Dragonair,57.00,5641,119 in stock,"Dragon,dragonair,Shed Skin"
"Dragon,Pokemon",Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.,Dratini,94.00,2799,275 in stock,"Dragon,dratini,Shed Skin"
"Fish,Pokemon","Magikarp is virtually useless in battle as it can only splash around. As a result, it is considered to be weak. However, it is actually a very hardy Pokémon that can survive in any body of water no matter how polluted it is.",Magikarp,43.00,6706,126 in stock,"Fish,magikarp,Swift Swim"
"Pokemon,Wild Bull","This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself.",Tauros,63.00,2149,298 in stock,"Intimidate,tauros,Wild Bull"
"Pokemon,Stag Beetle","Pinsir has a pair of massive horns. Protruding from the surface of these horns are thorns. These thorns are driven deeply into the foe’s body when the pincer closes, making it tough for the foe to escape.",Pinsir,141.00,2091,29 in stock,"Hyper Cutter,pinsir,Stag Beetle"
"Pokemon,Spitfire","In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon’s fiery bursts create heat waves that ignite grass and trees in its surroundings.",Magmar,130.00,8655,16 in stock,"Flame Body,magmar,Spitfire"
"Electric,Pokemon","When a storm arrives, gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.",Electabuzz,125.00,7699,63 in stock,"electabuzz,Electric,Static"
"Human Shape,Pokemon","Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing.",Jynx,138.00,1615,197 in stock,"Human Shape,jynx,Oblivious"
"Mantis,Pokemon","Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon’s scythes are so effective, they can slice through thick logs in one wicked stroke.",Scyther,85.00,5181,139 in stock,"Mantis,scyther,Swarm"
"Barrier,Pokemon","Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real.",Mr-mime,144.00,9469,105 in stock,"Barrier,mr-mime,Soundproof"
"Mysterious,Pokemon",Starmie swims through water by spinning its star-shaped body as if it were a propeller on a ship. The core at the center of this Pokémon’s body glows in seven colors.,Starmie,176.00,7984,283 in stock,"Mysterious,Natural Cure,starmie"
"Pokemon,Star Shape","Staryu apparently communicates with the stars in the night sky by flashing the red core at the center of its body. If parts of its body are torn, this Pokémon simply regenerates the missing pieces and limbs.",Staryu,166.00,7802,292 in stock,"Natural Cure,Star Shape,staryu"
"Goldfish,Pokemon",Seaking is very protective of its eggs. The male and female will take turns patrolling around their nest and eggs. The guarding of eggs by these Pokémon goes on for over a month.,Seaking,129.00,9260,226 in stock,"Goldfish,seaking,Swift Swim"
"Goldfish,Pokemon","Goldeen loves swimming wild and free in rivers and ponds. If one of these Pokémon is placed in an aquarium, it will shatter even the thickest glass with one ram of its horn and make its escape.",Goldeen,170.00,3144,117 in stock,"goldeen,Goldfish,Swift Swim"
"Dragon,Pokemon","Seadra generates whirlpools by spinning its body. The whirlpools are strong enough to swallow even fishing boats. This Pokémon weakens prey with these currents, then swallows it whole.",Seadra,51.00,2148,45 in stock,"Dragon,Poison Point,seadra"
"Dragon,Pokemon","If Horsea senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This Pokémon swims by cleverly flapping the fin on its back.",Horsea,154.00,1885,88 in stock,"Dragon,horsea,Swift Swim"
"Parent,Pokemon","If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon’s parent is sure to be in the area, and it will become violently enraged at you.",Kangaskhan,164.00,7268,35 in stock,"Early Bird,kangaskhan,Parent"
"Hypnosis,Pokemon","Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.",Hypno,198.00,2634,222 in stock,"hypno,Hypnosis,Insomnia"
"Hypnosis,Pokemon","If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.",Drowzee,40.00,9437,253 in stock,"drowzee,Hypnosis,Insomnia"
"Pokemon,Rock Snake","Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.",Onix,37.00,2221,286 in stock,"onix,Rock Head,Rock Snake"
"Pokemon,Shadow","Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.",Gengar,149.00,6267,159 in stock,"gengar,Levitate,Shadow"
"Gas,Pokemon","Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.",Haunter,42.00,7532,181 in stock,"Gas,haunter,Levitate"
"Gas,Pokemon","Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.",Gastly,179.00,6873,151 in stock,"Gas,gastly,Levitate"
"Bivalve,Pokemon","Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.",Cloyster,199.00,5736,39 in stock,"Bivalve,cloyster,Shell Armor"
"Bivalve,Pokemon","At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.",Shellder,138.00,4653,23 in stock,"Bivalve,Shell Armor,shellder"
"Pokemon,Sludge","This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather.",Muk,187.00,9514,220 in stock,"muk,Sludge,Stench"
"Pokemon,Sludge",Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.,Grimer,147.00,3031,201 in stock,"grimer,Sludge,Stench"
"Pokemon,Sea Lion",Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,Dewgong,70.00,9375,62 in stock,"dewgong,Sea Lion,Thick Fat"
"Pokemon,Sea Lion","Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.",Seel,164.00,2302,250 in stock,"Sea Lion,seel,Thick Fat"
"Pokemon,Triple Bird","Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.",Dodrio,138.00,4038,118 in stock,"dodrio,Run Away,Triple Bird"
"Pokemon,Twin Bird","Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains.",Doduo,73.00,8303,227 in stock,"doduo,Run Away,Twin Bird"
"Pokemon,Wild Duck","Farfetch’d is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.",Farfetchd,185.00,3808,158 in stock,"farfetchd,Keen Eye,Wild Duck"
"Poison Moth,Pokemon","Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",Venomoth,53.00,3503,22 in stock,"Poison Moth,Shield Dust,venomoth"
"Insect,Pokemon","Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.",Venonat,158.00,1329,177 in stock,"Compound Eyes,Insect,venonat"
"Mushroom,Pokemon","Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",Parasect,27.00,4612,17 in stock,"Effect Spore,Mushroom,parasect"
"Mushroom,Pokemon",Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,Paras,168.00,9691,192 in stock,"Effect Spore,Mushroom,paras"
"Flower,Pokemon","Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.",Vileplume,170.00,5295,283 in stock,"Chlorophyll,Flower,vileplume"
"Pokemon,Weed","From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.",Gloom,178.00,7374,74 in stock,"Chlorophyll,gloom,Weed"
"Pokemon,Weed","Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.",Oddish,45.00,8337,296 in stock,"Chlorophyll,oddish,Weed"
"Bat,Pokemon","Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.",Golbat,136.00,5941,52 in stock,"Bat,golbat,Inner Focus"
"Bat,Pokemon","Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.",Zubat,125.00,2584,154 in stock,"Bat,Inner Focus,zubat"
"Balloon,Pokemon","Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.",Wigglytuff,130.00,2733,260 in stock,"Balloon,Cute Charm,wigglytuff"
"Balloon,Pokemon","When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.",Jigglypuff,61.00,9180,136 in stock,"Balloon,Cute Charm,jigglypuff"
"Fox,Pokemon",Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,Ninetales,52.00,5173,215 in stock,"Flash Fire,Fox,ninetales"
"Fox,Pokemon","Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.",Vulpix,85.00,1440,268 in stock,"Flash Fire,Fox,vulpix"
"Fairy,Pokemon","Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",Clefable,188.00,9786,23 in stock,"clefable,Cute Charm,Fairy"
"Fairy,Pokemon","On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",Clefairy,160.00,3259,86 in stock,"clefairy,Cute Charm,Fairy"
